date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
26 februari 2025 10 uur - Jan Van Eyck,"Commissie voor Wonen, Toerisme, Energie en Klimaat - Renovatie appartementsgebouwen","Zo’n 1 miljoen Vlaamse gezinnen wonen in een appartement, maar een kwart van die appartementen is slecht geïsoleerd. Minister Melissa Depraetere stelde bij de start van de bouwbeurs Batibouw dat ze de renovatie van appartementsgebouwen financieel wil ondersteunen en een aantal drempels wil wegwerken. Zo zullen verenigingen van mede-eigenaars (VME's) een beroep kunnen doen op de Mijn VerbouwBegeleiding, de gratis renovatiebegeleiding voor wie r...",/nl/parlementair-werk/commissies/commissievergaderingen/1873185,/nl/parlementair-werk/commissies/commissievergaderingen/1873185,1873185,wonen,,,,,,,
,,,,,1872968,,1873185,Vraag om uitleg,Vraag om uitlegover de daling van het aantal warmtepompen,1704 (2024-2025),vanRobrecht Bothuyneaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1872968,agenda_item
,,,,,1870407,,1873185,Vraag om uitleg,Vraag om uitlegover de renovatie van appartementsgebouwen,1556 (2024-2025),vanRobrecht Bothuyneaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1870407,agenda_item
,,,,,1870561,,1873185,Vraag om uitleg,Vraag om uitlegover een versoepeling van de renovatie van appartementsgebouwen,1596 (2024-2025),vanKatrien Partykaaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1870561,agenda_item
,,,,,1870469,,1873185,Vraag om uitleg,Vraag om uitlegover modulair bouwen,1571 (2024-2025),vanGijs Degrandeaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1870469,agenda_item
,,,,,1872970,,1873185,Vraag om uitleg,Vraag om uitlegover de nood aan bijkomende noodwoningen,1706 (2024-2025),vanSofie Mertensaan minister Melissa Depraetere,/nl/parlementaire-documenten/vragen-en-interpellaties/1872970,agenda_item
