date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
27 februari 2025 10.15 uur - Peter Paul Rubens,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Vlaamse defensie-industrie en -innovatie: hoorzitting","De Vlaamse Adviesraad voor Innoveren en Ondernemen bracht een advies uit over de opportuniteiten en noden van de brede Vlaamse defensie-industrie en -innovatie. Hierover houden de leden van de commissie een hoorzitting met Danielle Raspoet, Annelies Wastyn en Kristien Vercoutere van de Vlaamse Adviesraad voor Innoveren en Ondernemen.",/nl/parlementair-werk/commissies/commissievergaderingen/1872163,/nl/parlementair-werk/commissies/commissievergaderingen/1872163,1872163,werk,,,,,,,
,,,,,1870511,,1872163,Vraag om uitleg,Vraag om uitlegover de productiviteits- en competitiviteitsagenda van de Vlaamse Regering,1584 (2024-2025),vanRobrecht Bothuyneaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870511,agenda_item
,,,,,1870569,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1601 (2024-2025),vanMichiel Awoutersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870569,agenda_item
,,,,,1870637,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1609 (2024-2025),vanGaby Colebundersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870637,agenda_item
,,,,,1871424,,1872163,Vraag om uitleg,Vraag om uitlegover het Vlaamse industrieplan,1617 (2024-2025),vanMieke Schauvliegeaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1871424,agenda_item
,,,,,1872658,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1655 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1872658,agenda_item
,,,,,1872341,,1872163,Vraag om uitleg,Vraag om uitlegover de klimaatinvestering in ArcelorMittal,1641 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1872341,agenda_item
