date,title,description,view_link,watch_link,ID,commission,meeting_ID,card__tag,card__title,card__document_number,card__author,verslag_link,data_type
27 februari 2025 10.15 uur - Peter Paul Rubens,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Vlaamse defensie-industrie en -innovatie: hoorzitting","De Vlaamse Adviesraad voor Innoveren en Ondernemen bracht een advies uit over de opportuniteiten en noden van de brede Vlaamse defensie-industrie en -innovatie. Hierover houden de leden van de commissie een hoorzitting met Danielle Raspoet, Annelies Wastyn en Kristien Vercoutere van de Vlaamse Adviesraad voor Innoveren en Ondernemen.",/nl/parlementair-werk/commissies/commissievergaderingen/1872163,/nl/parlementair-werk/commissies/commissievergaderingen/1872163,1872163,werk,,,,,,,
26 februari 2025 10 uur - Hans Memling,"Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie - Versterken duaal leren","Duaal leren houdt in dat leerplichtige jongeren hun diploma secundair onderwijs behalen door werkervaring op de werkvloer en in een school, een centrum voor deeltijds onderwijs of een Syntra-lesplaats. Momenteel stappen meer dan 5000 leerlingen in het duale stelsel, dus het streefdoel van 30.000 leerlingen wordt niet gehaald. Hiervoor zijn verschillende oorzaken: werkgevers aarzelen om in het systeem te stappen, scholen kampen met praktische hind...",/nl/parlementair-werk/commissies/commissievergaderingen/1873632,/nl/parlementair-werk/commissies/commissievergaderingen/1873632,1873632,werk,,,,,,,
,,,,,1870511,,1872163,Vraag om uitleg,Vraag om uitlegover de productiviteits- en competitiviteitsagenda van de Vlaamse Regering,1584 (2024-2025),vanRobrecht Bothuyneaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870511,agenda_item
,,,,,1870569,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1601 (2024-2025),vanMichiel Awoutersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870569,agenda_item
,,,,,1870637,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1609 (2024-2025),vanGaby Colebundersaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1870637,agenda_item
,,,,,1871424,,1872163,Vraag om uitleg,Vraag om uitlegover het Vlaamse industrieplan,1617 (2024-2025),vanMieke Schauvliegeaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1871424,agenda_item
,,,,,1872658,,1872163,Vraag om uitleg,Vraag om uitlegover de Vlaamse productiviteits- en competitiviteitsagenda: de Vlaamse Versnelling,1655 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1872658,agenda_item
,,,,,1872341,,1872163,Vraag om uitleg,Vraag om uitlegover de klimaatinvestering in ArcelorMittal,1641 (2024-2025),vanAndries Gryffroyaan minister Matthias Diependaele,/nl/parlementaire-documenten/vragen-en-interpellaties/1872341,agenda_item
,,,,,1872350,,1873632,Vraag om uitleg,Vraag om uitlegover de toekomstige ontwikkeling van duaal leren,1642 (2024-2025),vanTom Ongenaaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872350,agenda_item
,,,,,1872804,,1873632,Vraag om uitleg,Vraag om uitlegover de doelstelling duaal leren 2030,1668 (2024-2025),vanNawal Maghroudaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872804,agenda_item
,,,,,1872935,,1873632,Vraag om uitleg,Vraag om uitlegover de mismatch tussen de vraag vanuit onderwijs en de beschikbare werkplekken in duaal leren,1688 (2024-2025),vanKristof Slagmulderaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872935,agenda_item
,,,,,1872938,,1873632,Vraag om uitleg,Vraag om uitlegover de cijfers en aanbevelingen over duaal leren,1691 (2024-2025),vanTom Lamontaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872938,agenda_item
,,,,,1872967,,1873632,Vraag om uitleg,Vraag om uitlegover het versterken van duaal leren,1703 (2024-2025),vanStephanie D'Hoseaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872967,agenda_item
,,,,,1870449,,1873632,Vraag om uitleg,Vraag om uitlegover het arbeidsmarktbeleid in het Vlaamse regeerakkoord en de noodzaak om daar opnieuw over te onderhandelen,1567 (2024-2025),vanEva Platteauaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1870449,agenda_item
,,,,,1871795,,1873632,Vraag om uitleg,Vraag om uitlegover de impact van AI op de arbeidsmarkt,1623 (2024-2025),vanTom Ongenaaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1871795,agenda_item
,,,,,1872934,,1873632,Vraag om uitleg,Vraag om uitlegover de recordcijfers inzake arbeidsmigratie,1687 (2024-2025),vanTom Lamontaan minister Zuhal Demir,/nl/parlementaire-documenten/vragen-en-interpellaties/1872934,agenda_item
